﻿Code;Locatie;Datum;Uur5Minuten;Ordening;Totaal;Tegenrichting;Hoofdrichting
COU;Coupure-Links;2021-03-01;19:25:00;2021-03-01T19:25:00+01:00;30;13;17
COU;Coupure-Links;2021-03-01;19:30:00;2021-03-01T19:30:00+01:00;19;11;8
COU;Coupure-Links;2021-03-01;19:35:00;2021-03-01T19:35:00+01:00;25;9;16
COU;Coupure-Links;2021-03-01;19:40:00;2021-03-01T19:40:00+01:00;25;8;17
COU;Coupure-Links;2021-03-01;19:45:00;2021-03-01T19:45:00+01:00;18;12;6
COU;Coupure-Links;2021-03-01;19:50:00;2021-03-01T19:50:00+01:00;21;11;10
COU;Coupure-Links;2021-03-01;19:55:00;2021-03-01T19:55:00+01:00;21;7;14
COU;Coupure-Links;2021-03-01;20:00:00;2021-03-01T20:00:00+01:00;17;6;11
COU;Coupure-Links;2021-03-01;20:05:00;2021-03-01T20:05:00+01:00;19;10;9
COU;Coupure-Links;2021-03-01;20:10:00;2021-03-01T20:10:00+01:00;21;14;7
COU;Coupure-Links;2021-03-01;20:15:00;2021-03-01T20:15:00+01:00;17;7;10
COU;Coupure-Links;2021-03-01;20:20:00;2021-03-01T20:20:00+01:00;21;4;17
COU;Coupure-Links;2021-03-01;20:25:00;2021-03-01T20:25:00+01:00;16;5;11
COU;Coupure-Links;2021-03-01;20:30:00;2021-03-01T20:30:00+01:00;19;4;15
COU;Coupure-Links;2021-03-01;20:35:00;2021-03-01T20:35:00+01:00;10;2;8
COU;Coupure-Links;2021-03-01;20:40:00;2021-03-01T20:40:00+01:00;15;6;9
COU;Coupure-Links;2021-03-01;20:45:00;2021-03-01T20:45:00+01:00;17;5;12
COU;Coupure-Links;2021-03-01;20:50:00;2021-03-01T20:50:00+01:00;16;7;9
COU;Coupure-Links;2021-03-01;20:55:00;2021-03-01T20:55:00+01:00;22;6;16
COU;Coupure-Links;2021-03-01;21:00:00;2021-03-01T21:00:00+01:00;11;4;7
COU;Coupure-Links;2021-03-01;21:05:00;2021-03-01T21:05:00+01:00;8;2;6
COU;Coupure-Links;2021-03-01;21:10:00;2021-03-01T21:10:00+01:00;12;5;7
COU;Coupure-Links;2021-03-01;21:15:00;2021-03-01T21:15:00+01:00;17;9;8
COU;Coupure-Links;2021-03-01;21:20:00;2021-03-01T21:20:00+01:00;19;9;10
COU;Coupure-Links;2021-03-01;21:25:00;2021-03-01T21:25:00+01:00;8;1;7
COU;Coupure-Links;2021-03-01;21:30:00;2021-03-01T21:30:00+01:00;9;2;7
COU;Coupure-Links;2021-03-01;21:35:00;2021-03-01T21:35:00+01:00;11;4;7
COU;Coupure-Links;2021-03-01;21:40:00;2021-03-01T21:40:00+01:00;11;4;7
COU;Coupure-Links;2021-03-01;21:45:00;2021-03-01T21:45:00+01:00;19;8;11
COU;Coupure-Links;2021-03-01;21:50:00;2021-03-01T21:50:00+01:00;7;3;4
COU;Coupure-Links;2021-03-01;21:55:00;2021-03-01T21:55:00+01:00;16;5;11
COU;Coupure-Links;2021-03-01;22:00:00;2021-03-01T22:00:00+01:00;17;6;11
COU;Coupure-Links;2021-03-01;22:05:00;2021-03-01T22:05:00+01:00;8;2;6
COU;Coupure-Links;2021-03-01;22:10:00;2021-03-01T22:10:00+01:00;12;4;8
COU;Coupure-Links;2021-03-01;22:15:00;2021-03-01T22:15:00+01:00;14;3;11
COU;Coupure-Links;2021-03-01;22:20:00;2021-03-01T22:20:00+01:00;6;1;5
COU;Coupure-Links;2021-03-01;22:25:00;2021-03-01T22:25:00+01:00;10;3;7
COU;Coupure-Links;2021-03-01;22:30:00;2021-03-01T22:30:00+01:00;6;1;5
COU;Coupure-Links;2021-03-01;22:35:00;2021-03-01T22:35:00+01:00;10;1;9
COU;Coupure-Links;2021-03-01;22:40:00;2021-03-01T22:40:00+01:00;11;7;4
COU;Coupure-Links;2021-03-01;22:45:00;2021-03-01T22:45:00+01:00;10;5;5
COU;Coupure-Links;2021-03-01;22:50:00;2021-03-01T22:50:00+01:00;7;3;4
COU;Coupure-Links;2021-03-01;22:55:00;2021-03-01T22:55:00+01:00;4;3;1
COU;Coupure-Links;2021-03-01;23:00:00;2021-03-01T23:00:00+01:00;8;2;6
COU;Coupure-Links;2021-03-01;23:05:00;2021-03-01T23:05:00+01:00;10;5;5
COU;Coupure-Links;2021-03-01;23:10:00;2021-03-01T23:10:00+01:00;3;1;2
COU;Coupure-Links;2021-03-01;23:15:00;2021-03-01T23:15:00+01:00;4;1;3
COU;Coupure-Links;2021-03-01;23:20:00;2021-03-01T23:20:00+01:00;4;0;4
COU;Coupure-Links;2021-03-01;23:25:00;2021-03-01T23:25:00+01:00;5;2;3
COU;Coupure-Links;2021-03-01;23:30:00;2021-03-01T23:30:00+01:00;10;4;6
COU;Coupure-Links;2021-03-01;23:35:00;2021-03-01T23:35:00+01:00;17;9;8
COU;Coupure-Links;2021-03-01;23:40:00;2021-03-01T23:40:00+01:00;11;9;2
COU;Coupure-Links;2021-03-01;23:45:00;2021-03-01T23:45:00+01:00;23;9;14
COU;Coupure-Links;2021-03-01;23:50:00;2021-03-01T23:50:00+01:00;19;0;19
COU;Coupure-Links;2021-03-01;23:55:00;2021-03-01T23:55:00+01:00;9;2;7
COU;Coupure-Links;2021-03-02;0:00:00;2021-03-02T00:00:00+01:00;2;1;1
COU;Coupure-Links;2021-03-02;0:05:00;2021-03-02T00:05:00+01:00;0;0;0
COU;Coupure-Links;2021-03-02;0:10:00;2021-03-02T00:10:00+01:00;0;0;0
